Player,Nation,Position,Team,Age,Weekly,Annual
Matheus Nunes,POR,"DF,MF",Manchester City,24.984968457344664,144473.4438474723,8722838.783953397
Cole Palmer,ENG,MF,Chelsea,24.01311843228903,149691.04086614476,8507627.323477168
João Félix,POR,"FW,MF",Chelsea,22.66143844384442,173124.4021319994,8970005.425771505
Abdoulaye Doucouré,MLI,MF,Everton,32.86407139524434,143410.9597111999,9053587.373546753
Bernd Leno,GER,GK,Fulham,34.616868897855284,160244.677252452,8005333.460464826
Danny Ings,ENG,"FW,MF",West Ham,30.47880634514419,151339.05682574923,7563404.603462248
Jordan Pickford,ENG,GK,Everton,32.15215525431182,166182.5192698229,7652564.02503392
Riccardo Calafiori,ITA,DF,Arsenal,22.54833810950646,160932.40323630426,8278453.750086658
André Onana,CMR,GK,Manchester Utd,29.449995605827382,143014.92311210794,8119212.567324388
Lisandro Martínez,ARG,DF,Manchester Utd,24.945989280144335,141280.1859350587,7839993.008429317
Manuel Ugarte,,DM,Manchester Utd,21.159807802872606,132738.8184521093,7584152.065508723
Victor Lindelöf,SWE,DF,Manchester Utd,27.865210956293296,159013.2598101461,7790306.608758478
Aaron Ramsdale,ENG,GK,Southampton,25.2624120711566,138391.25717760375,7085677.118858603
Alphonse Areola,FRA,GK,West Ham,29.641197373602296,135569.97167415524,7791398.52539817
Cody Gakpo,NED,FW,Liverpool,26.420646356849804,152210.2340364292,7139955.188538311
Dominik Szoboszlai,HUN,MF,Liverpool,23.91103781305737,156986.24265179067,7479273.880426743
John McGinn,SCO,"MF,FW",Aston Villa,30.074653885390656,157597.18506721137,7457509.503870682
Leon Bailey,JAM,"FW,MF",Aston Villa,26.547704669017502,134392.55433192244,7408021.360311915
Lucas Digne,FRA,DF,Aston Villa,32.2901029958207,152820.7795505792,7871773.423400128
Alexander Isak,SWE,FW,Newcastle Utd,25.035750343097533,153563.08370362458,7408619.322211792
Kieran Trippier,ENG,DF,Newcastle Utd,34.51086051350361,135930.58815812937,7224813.692282679
Sandro Tonali,ITA,MF,Newcastle Utd,25.900775107113596,136118.6708894956,7872315.294341512
Tosin Adarabioyo,ENG,DF,Chelsea,24.345246789944383,150441.15087602916,8179582.55535883
Idrissa Gana Gueye,SEN,MF,Everton,35.72709469190047,139975.75885690618,8247559.374666233
Marco Asensio,ESP,MF,Aston Villa,26.797037579845615,149957.30654563324,8901291.136454111
James Ward-Prowse,ENG,MF,West Ham,30.407921148514397,146606.14978837466,8679781.019035755
Leny Yoro,,CB,Manchester Utd,17.65152295751608,129985.35858480065,7483275.225683396
Raheem Sterling,ENG,"FW,MF",Arsenal,28.647954623522587,136827.36283406624,7057673.062710142
Jorginho,ITA,MF,Arsenal,34.661671809848876,139812.26177918847,7208212.96648162
Kieran Tierney,SCO,"DF,FW",Arsenal,28.31718436008014,128070.5834148907,7158989.459930838
Dejan Kulusevski,SWE,"MF,FW",Tottenham,26.395833745340035,127010.77969551824,6705526.864913173
Joshua Zirkzee,NED,"FW,MF",Manchester Utd,22.21158806907705,118465.03840840276,7300724.837896318
Daichi Kamada,JPN,MF,Crystal Palace,28.282287180674636,139299.51584285416,7287014.133948007
Nikola Milenković,SRB,DF,Nott'ham Forest,23.645087200278162,139803.25096467877,7273653.683144734
Ben Chilwell,ENG,DF,Crystal Palace,27.680018287151064,122079.89988716581,7080538.422757259
David Raya,ESP,GK,Arsenal,27.044879360693344,118130.69643867832,6234044.423771878
Gabriel Magalhães,BRA,DF,Arsenal,28.35784597504242,127688.67840106438,6431871.09958576
Takehiro Tomiyasu,JPN,DF,Arsenal,25.330447711461375,119262.07425761568,6387207.60761941
Dean Henderson,ENG,GK,Crystal Palace,25.5674697080286,122709.9902572007,6867976.842384143
Eberechi Eze,ENG,"MF,FW",Crystal Palace,26.945326525647857,119190.20444770915,5822156.384290114
Edson Álvarez,MEX,MF,West Ham,23.69405478823106,122371.4689825914,6282203.062310124
Max Kilman,ENG,DF,West Ham,29.575286094632087,122785.5547726928,6832595.491674648
Diego Carlos,BRA,DF,Aston Villa,33.39515862498911,114161.30287456643,6862422.640112423
Ian Maatsen,NED,DF,Aston Villa,20.912778367112992,114446.99729125522,5833320.133271363
Pau Torres,ESP,DF,Aston Villa,27.057333812135848,127022.81530707466,6151606.480768101
Tyrone Mings,ENG,DF,Aston Villa,33.7909579857655,119195.95107757764,6854804.56493576
Matt Targett,ENG,DF,Newcastle Utd,26.786757514604886,118271.91454992373,6859675.145502779
Ederson,BRA,GK,Manchester City,29.629904482715663,120242.71082825659,5874135.626385129
Carney Chukwuemeka,ENG,CM,Chelsea,21.41235898245549,115742.01504374882,6061497.9600686
Levi Colwill,ENG,DF,Chelsea,21.465877039108804,129393.36105186514,6862703.742942199
Mykhailo Mudryk,UKR,FW,Chelsea,22.646079118960344,121108.26321874102,6785562.51186583
Nicolas Jackson,SEN,FW,Chelsea,24.800887581303684,117069.14413419642,5763903.517128691
Dominic Calvert-Lewin,ENG,FW,Everton,24.542291350326266,123796.45689253681,6116829.583724824
James Tarkowski,ENG,DF,Everton,31.853190322813226,120010.44152637439,6974098.856086661
Raúl Jiménez,MEX,FW,Fulham,30.120413199176006,123213.46880221977,6654341.24691952
Reiss Nelson,ENG,FW,Fulham,22.315246668472327,134159.89190407624,6858679.755139947
Emerson Palmieri,ITA,DF,West Ham,27.481702009340015,112480.18382751083,6573801.414664118
Jurriën Timber,NED,DF,Arsenal,21.995631487575324,101917.89162328816,5583320.482462698
Leandro Trossard,BEL,FW,Arsenal,28.196677993743986,119077.78805021854,5588772.476177395
Dominic Solanke,ENG,FW,Tottenham,24.824869432497913,105592.52052296691,6243843.76424989
Richarlison,BRA,FW,Tottenham,28.435373015336708,116839.4820806063,5393692.217354
Eddie Nketiah,ENG,"FW,MF",Crystal Palace,23.156025116269507,104155.15677447795,6194046.741714781
Aaron Wan-Bissaka,ENG,DF,West Ham,27.680166498822732,112873.7534188316,5915822.4551556865
Mohammed Kudus,,AM,West Ham,24.451437985915447,104710.50350062629,5437913.002243929
Niclas Füllkrug,GER,FW,West Ham,33.37653172716153,103303.12926575128,5629306.9819123605
Tomáš Souček,CZE,MF,West Ham,27.43114334494589,110777.15386037967,5775676.226083263
Gonçalo Guedes,POR,"MF,FW",Wolves,27.801297666369788,119920.91539836195,5921289.293560219
Pablo Sarabia,ESP,"MF,FW",Wolves,30.35820807470336,117989.95827592956,5738230.414501006
Harry Winks,ENG,MF,Leicester City,26.661382761865486,103986.56688982986,5294008.704257342
Odsonne Édouard,FRA,FW,Leicester City,27.583437887147912,100904.32524114358,5574201.183759735
Sven Botman,NED,DF,Newcastle Utd,21.66283780932115,102000.92799306312,6162687.269546612
Stefan Ortega,GER,GK,Manchester City,33.10985618057493,105268.65307501743,5238783.606008037
Benoît Badiashile,FRA,DF,Chelsea,22.392896199973958,99856.10319819652,5816546.492356545
Jack Harrison,ENG,FW,Everton,24.658764226216757,108824.3033527503,6030681.917337077
Joachim Andersen,DEN,DF,Fulham,27.424705217390507,102049.27553612758,6029499.6609980045
Leander Dendoncker,BEL,DM,Aston Villa,28.838644042336814,119532.34798426372,6652276.826473031
Willian,BRA,"FW,MF",Fulham,31.536335101932103,115003.85040981614,6471090.114814543
Ferdi Kadioglu,TUR,"DF,MF",Brighton,25.045939588122856,100044.56407442165,5486005.535028135
Diogo Dalot,POR,DF,Manchester Utd,26.714366966792692,96896.03438589082,4913095.831960194
Rasmus Højlund,DEN,FW,Manchester Utd,20.971134124696,101930.08961034844,5129958.346335018
Pedro Porro,ESP,DF,Tottenham,25.27223653880351,110140.17147152088,5480165.5148849785
Radu Drăgușin,ROU,DF,Tottenham,19.9597044815323,99200.17995439177,5129873.403040205
Evanilson,BRA,FW,Bournemouth,23.389909978493087,109684.80707565579,4929297.374690769
Michail Antonio,JAM,FW,West Ham,32.843030236344894,109193.96000849127,5733392.241005722
Joe Gomez,ENG,DF,Liverpool,27.52731057120273,101259.41061579401,5142057.584820191
Mathys Tel,FRA,FW,Tottenham,19.269593683347217,97851.558789503,5859665.029596553
Ben Davies,WAL,DF,Tottenham,29.246150702889384,99405.46180828285,4589783.849459346
Justin Kluivert,NED,"MF,FW",Bournemouth,23.931506568648718,96899.38570116811,4661792.294587979
Carlos Soler,ESP,"MF,FW",West Ham,29.034353571631463,96540.24124745082,4588057.116364151
Matty Cash,POL,DF,Aston Villa,23.9290457128409,92950.81406643263,5240962.617805839
Nélson Semedo,POR,DF,Wolves,27.02402775565938,94462.1770426689,5070947.391001923
Boubakary Soumaré,FRA,MF,Leicester City,24.670468580081216,97860.04321302033,5556123.898405108
Ricardo Pereira,POR,DF,Leicester City,31.414198528661103,91975.84148449427,5306565.011427813
Harvey Barnes,ENG,FW,Newcastle Utd,27.077500342808595,103441.08039998775,5080650.455003719
Joe Willock,ENG,"MF,FW",Newcastle Utd,25.40111342127074,104464.84928871244,5270614.892661749
Kiernan Dewsbury-Hall,ENG,"MF,FW",Chelsea,24.823130613231807,95205.0563148724,4721260.166165892
Kaoru Mitoma,JPN,"FW,MF",Brighton,27.78915706969257,98076.96680835131,5161636.315314075
Lewis Dunk,ENG,DF,Brighton,32.53914213065336,107445.80411271716,5574036.424924437
Michael Keane,ENG,DF,Everton,32.56903153474916,100703.78330104802,4761043.2276545055
Callum Hudson-Odoi,ENG,"FW,MF",Nott'ham Forest,24.081323575043292,97905.53772816123,4599788.216985641
Chris Wood,NZL,FW,Nott'ham Forest,31.645578163777284,96481.61016880273,5545249.380497705
Morgan Gibbs-White,ENG,MF,Nott'ham Forest,24.841327918413064,95286.36398735619,5440274.750442294
Alex Iwobi,NGA,"FW,MF",Fulham,25.513528884324373,93677.16285040366,4730882.333059156
Ben Godfrey,ENG,DF,Ipswich Town,25.986140436815145,95222.81484028981,5038926.066987319
Tyrell Malacia,NED,DF,Manchester Utd,24.3606748026846,99330.05328650888,4539634.7291221805
Archie Gray,,CM,Tottenham,18.588348893469718,96378.61444741634,4862927.63877303
Destiny Udogie,ITA,DF,Tottenham,19.004901975223586,89156.9723378143,4738219.507399562
Fraser Forster,ENG,GK,Tottenham,34.82681945909137,99461.99061619655,5011682.680919438
Guglielmo Vicario,ITA,GK,Tottenham,27.84605614481234,83725.1654989308,5236826.268175155
Rodrigo Bentancur,URU,MF,Tottenham,26.137035625835015,88653.67050224151,5221829.255541367
Kepa Arrizabalaga,ESP,GK,Bournemouth,28.861465966804634,87291.68913869721,4862589.393152191
Guido Rodríguez,ARG,MF,West Ham,28.053259035743807,83535.38849105116,4986882.128300937
Kostas Tsimikas,GRE,DF,Liverpool,30.516815963506172,84776.89071429231,4584729.313055011
Emi Buendía,ARG,"MF,FW",Aston Villa,24.350635416543952,99623.63927217806,4775182.222281182
Ezri Konsa,ENG,DF,Aston Villa,24.336257518440814,84265.07610576435,4348537.4721137285
Jáder Durán,COL,FW,Aston Villa,20.437907517915683,99559.71130605956,4552730.407126631
Morgan Rogers,ENG,"FW,MF",Aston Villa,24.03190717798929,98622.25834622404,4302883.290944555
Conor Coady,ENG,DF,Leicester City,28.7415916814842,85836.32382646474,4644084.823701449
Patson Daka,ZAM,"FW,MF",Leicester City,27.26247912065199,84718.75587489706,5065646.591170762
Wilfred Ndidi,NGA,MF,Leicester City,26.73684935952606,87710.37951294529,5206001.9813801255
Georginio Rutter,FRA,"MF,FW",Brighton,22.785721646265603,92479.28714226365,4428982.194133005
Ibrahim Sangaré,CIV,MF,Nott'ham Forest,26.291773711922456,90963.14277971427,4940306.944511912
Jan Bednarek,POL,DF,Southampton,25.655806650505273,84865.76028248716,4889510.283827785
Joe Aribo,NGA,"MF,DF",Southampton,28.65363068134657,84230.30465398678,4487606.526260042
Brennan Johnson,WAL,FW,Tottenham,22.235946419993994,88138.06792202657,4124260.85258918
Pape Matar Sarr,SEN,MF,Tottenham,21.284151031126605,84775.32644310925,4190750.140471621
Cheick Doucouré,MLI,MF,Crystal Palace,26.35394136661334,91486.07372121137,4806983.342928657
Ismaila Sarr,SEN,MF,Crystal Palace,28.096637466134478,92972.5630853359,4020703.5202299934
Jefferson Lerma,COL,"MF,DF",Crystal Palace,28.6250919510865,90220.1648255174,4612135.804621486
Ryan Christie,SCO,MF,Bournemouth,29.402444815165346,93039.8746104371,4299461.631303223
Ibrahima Konaté,FRA,DF,Liverpool,23.895556960991396,84326.14166680213,4834410.267672888
Jacob Ramsey,ENG,"FW,MF",Aston Villa,21.76164322266997,89827.91876223017,4084223.8981755027
Hwang Hee-chan,KOR,"MF,FW",Wolves,28.47144187224698,86608.04115978043,4041271.4739426253
Aaron Hickey,SCO,RB,Brentford,20.845857119292095,89463.3054814946,4709130.901751778
Issa Diop,FRA,DF,Fulham,26.97680200288402,81183.24959028911,4787619.2544654645
Mason Holgate,ENG,"FW,DF",Everton,26.07319750545028,87722.94985375469,4340079.986947495
Jonny Evans,NIR,DF,Manchester Utd,36.72359614628134,83660.03792787352,3966527.5611291816
Maxwel Cornet,CIV,FW,Southampton,28.55942189645448,86317.38124587135,3894525.572644432
Luis Sinisterra,COL,"FW,MF",Bournemouth,24.699989976919337,74169.85674682439,4539007.1738831075
Łukasz Fabiański,POL,GK,West Ham,40.72709813053556,86251.67669893357,4250140.377534548
Adama Traoré,ESP,"FW,MF",Fulham,29.965155971915088,76724.48463459135,4241191.498622962
Timothy Castagne,BEL,DF,Fulham,26.32393954033966,87021.08191477243,3750318.4939422505
Nathaniel Phillips,ENG,CB,Liverpool,29.285575228638066,77296.52978474843,4816293.677368635
Saša Lukić,SRB,MF,Fulham,27.3533745190229,72136.93019847384,4372827.45511578
Giorgi Mamardashvili,GEO,,Liverpool,24.12515734637364,78665.34097667874,3974881.367572322
Nicolás González,ESP,MF,Manchester City,23.31076551623288,83178.26265238921,4175462.460697446
Adam Armstrong,ENG,"FW,MF",Southampton,25.004218848636082,76071.53208379023,4117625.087811658
Jeffrey Schlupp,GHA,"MF,DF",Crystal Palace,33.68317117518454,74165.27400450742,3758635.67427972
Lewis Cook,ENG,"MF,DF",Bournemouth,28.131689845539007,67502.06762523991,3946046.775518201
Tyler Adams,USA,MF,Bournemouth,24.553653732247035,69235.98319443717,3540498.641093312
Matheus Cunha,BRA,"MF,FW",Wolves,26.442862290639358,77034.1563406835,3886259.4620522475
Jannik Vestergaard,DEN,DF,Leicester City,28.74837766876726,75984.20830325407,3741163.085712133
Miguel Almirón,PAR,FW,Newcastle Utd,31.198905697349733,71975.38043117347,4088453.6589206527
Nick Pope,ENG,GK,Newcastle Utd,34.739339786853336,67325.01556851895,3891445.2437487673
Robert Sánchez,ESP,GK,Chelsea,27.292190676208918,71506.7539263418,4164766.461869522
Danny Welbeck,ENG,FW,Brighton,34.106668054531866,75030.00985799277,3892704.685982648
James Milner,ENG,MF,Brighton,40.26165124735717,75763.5739093326,3787954.11855615
Mats Wieffer,NED,"MF,DF",Brighton,26.259255592124106,67854.77493511765,3670442.886449219
Emile Smith Rowe,ENG,MF,Fulham,25.669836648420713,67904.6819848584,3965644.642761241
Manor Solomon,ISR,LW,Tottenham,27.185285805991793,85566.87174478588,3739296.8166441508
Jakub Kiwior,POL,DF,Arsenal,25.893053791223934,64500.287707892756,3931086.301439331
Vitaliy Mykolenko,UKR,DF,Everton,27.284637769347516,76525.93695746186,3627835.5582137704
Yves Bissouma,MLI,MF,Tottenham,24.799568222537246,72463.20442479575,3771292.9413696188
Chris Richards,USA,DF,Crystal Palace,23.340440182073685,73241.42060004562,3341087.512076496
Luis Díaz,COL,FW,Liverpool,28.588050522788272,72280.59913981079,3605845.7580091953
Boubacar Traoré,MLI,MF,Wolves,21.431177315714315,69182.58463637524,3328559.7720761932
Dan Burn,ENG,DF,Newcastle Utd,32.47589783916581,61447.21939796899,3482391.5344291935
Emil Krafth,SWE,DF,Newcastle Utd,27.00130889850732,68481.05457316642,3816802.3752278103
Ben Mee,ENG,DF,Brentford,35.68440586634665,62365.163757547125,3412180.2758234832
Adam Webster,ENG,DF,Brighton,27.094954597409558,63437.44364858012,3493588.4121796046
Séamus Coleman,IRL,DF,Everton,35.39540811306575,72477.1208377374,3402976.1527920207
Sander Berge,NOR,MF,Fulham,24.9294925266774,65694.74212540842,3638082.210245132
Sergio Reguilón,ESP,DF,Tottenham,28.8675603840625,63352.60642919256,3137384.309170557
Marshall Munetsi,ZIM,"MF,FW",Wolves,29.945403151820244,65559.78688452077,3363949.6659197076
Jesper Lindstrøm,DEN,FW,Everton,23.18431974474666,70143.57960771208,3720827.7621746096
Neto,BRA,GK,Arsenal,33.42659638921813,57154.13414555316,2864172.287146418
Alejandro Garnacho,,LW,Manchester Utd,21.45812056115313,59721.66165793579,3226858.160190231
Djed Spence,ENG,DF,Tottenham,24.28436090515645,56687.85029881119,3224318.2466323143
Micky van de Ven,NED,DF,Tottenham,24.125558663747732,66798.33777384831,3327607.158823834
Jean-Philippe Mateta,FRA,FW,Crystal Palace,29.358417859875587,63573.30638914008,3142172.936254252
Marc Guéhi,ENG,DF,Crystal Palace,22.706963513868587,59043.27489041398,3101045.4746581633
Maxence Lacroix,FRA,DF,Crystal Palace,23.423157954559123,63020.6971779741,3340212.702988889
Nathaniel Clyne,ENG,"DF,MF",Crystal Palace,34.6829342568653,60897.155293837095,3068096.9219406117
Trevoh Chalobah,ENG,DF,Crystal Palace,25.891776642433573,63894.94302792774,3333499.2659028484
Will Hughes,ENG,MF,Crystal Palace,26.34222807958455,58517.12082264213,3218535.7532671294
Antoine Semenyo,GHA,FW,Bournemouth,23.4800080048887,61029.604119591386,2949743.8529673824
David Brooks,WAL,"FW,MF",Bournemouth,26.57225545512197,54964.18371482695,2873819.5715647675
Ilya Zabarnyi,,CB,Bournemouth,22.118093560296263,56240.97942899476,2920626.621034243
Marcos Senesi,ARG,DF,Bournemouth,27.07952501522162,58514.33814927944,3118143.2952516843
Aaron Cresswell,ENG,DF,West Ham,31.568040852313274,56593.096745011666,3095815.3249544064
Konstantinos Mavropanos,GRE,DF,West Ham,24.647311386112055,63286.336077350854,3098693.6850980762
Wataru Endo,JPN,"MF,DF",Liverpool,28.019001433904975,60050.98672857797,3409610.0199424583
Robin Olsen,SWE,GK,Aston Villa,31.881112852971366,59875.97850641281,3077555.4939361354
Matt Doherty,IRL,DF,Wolves,29.21964152059516,61963.258551009356,3251278.7812471315
Hamza Choudhury,BAN,"MF,DF",Leicester City,26.323032167421722,61475.5859931516,3370747.2244741926
Oliver Skipp,ENG,MF,Leicester City,25.158064550379883,63587.637658458916,3017077.1260506595
Wout Faes,BEL,DF,Leicester City,23.579179587681452,59733.1195011758,3267615.9269604953
Odisseas Vlachodimos,GRE,GK,Newcastle Utd,29.14186172260087,56176.578575828724,3054085.0272656325
Sean Longstaff,ENG,MF,Newcastle Utd,26.956954893920198,62425.41718357214,3083142.590769501
Valentino Livramento,ENG,DF,Newcastle Utd,22.306565502833482,61876.720661095846,3398977.2746965135
Jeremy Doku,BEL,"FW,MF",Manchester City,22.44746008476055,56037.201760257274,3223701.0450711427
Oscar Bobb,,RW,Manchester City,19.59728501796031,57438.861992881764,3311833.1335116234
Igor Thiago,,CF,Brentford,23.65778548803383,65701.62323303045,2912105.6189868865
Mathias Jensen,DEN,MF,Brentford,25.545556334931597,59656.34483778486,3338838.979976414
Filip Jørgensen,DEN,GK,Chelsea,22.381331828594018,58955.602516615276,2951291.5422267714
Marc Guiu,,CF,Chelsea,16.96342474281838,62647.61163736504,2979846.172552576
Noni Madueke,,RW,Chelsea,22.179925606718086,63914.73566196384,3391307.96933485
Brajan Gruda,,RW,Brighton,20.196757407696655,59838.4630703425,3320493.997849417
João Pedro,BRA,"FW,MF",Brighton,23.35528970707208,57626.164951184335,3053322.447763771
Joël Veltman,NED,DF,Brighton,32.02873703131256,56451.15121459363,3340366.8155741207
Matt O'Riley,DEN,MF,Brighton,21.396764342522154,55505.20667091443,3035800.689237772
Pervis Estupiñán,ECU,DF,Brighton,25.459092651187994,58299.84175583123,3419605.8404082907
Solly March,ENG,"FW,MF",Brighton,30.352518689913715,56972.06825928989,2861671.052329647
Beto,GNB,FW,Everton,26.015567863567938,59638.91523765973,3171429.0098874383
Orel Mangala,BEL,MF,Everton,23.46484966029149,61305.340309282656,3144496.751016664
Neco Williams,WAL,DF,Nott'ham Forest,23.521911043108748,56256.1823197566,2966962.585757926
Ryan Yates,ENG,MF,Nott'ham Forest,25.635686561726043,58077.34848241057,3227749.3573093284
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,27.695837525791116,58067.21040812793,3229081.706186035
Andreas Pereira,BRA,MF,Fulham,25.408898116917726,61986.587369417124,3218316.055603604
Antonee Robinson,USA,DF,Fulham,26.351298983668098,62953.40621831897,2947021.0108198156
Harrison Reed,ENG,MF,Fulham,28.941485602702613,65759.99239450331,2937037.6220676266
Kenny Tete,NED,DF,Fulham,25.35924989231117,66381.35524082973,3088118.0370508954
Callum Wilson,ENG,FW,Newcastle Utd,31.213378193537046,58350.7485433662,2648460.4588379506
