match_id,home_team,away_team,home_goals,away_goals,attendance,stadium,referee,date
89,Team C,Team F,5,5,47458,Stadium Y,Ref B,2025-01-04 16:00:00
90,Team C,Team E,1,0,48631,Stadium X,Ref B,2025-01-04 17:00:00
91,Team D,Team E,4,4,23568,Stadium Z,Ref B,2025-01-04 18:00:00
92,Team C,Team H,3,2,67958,Stadium Z,Ref A,2025-01-04 19:00:00
93,Team B,Team F,4,3,34036,Stadium X,Ref A,2025-01-04 20:00:00
94,Team D,Team H,4,2,63847,Stadium Y,Ref B,2025-01-04 21:00:00
95,Team D,Team H,1,3,40293,Stadium X,Ref B,2025-01-04 22:00:00
96,Team A,Team E,4,2,41477,Stadium X,Ref B,2025-01-04 23:00:00
97,Team C,Team F,5,3,47488,Stadium Z,Ref A,2025-01-05 00:00:00
98,Team C,Team F,1,3,77470,Stadium X,Ref C,2025-01-05 01:00:00
99,Team D,Team F,0,0,15698,Stadium Y,Ref C,2025-01-05 02:00:00
100,Team D,Team E,4,3,61422,Stadium Y,Ref A,2025-01-05 03:00:00
101,Team B,Team H,2,1,50078,Stadium Z,Ref B,2025-01-05 04:00:00
102,Team C,Team E,1,1,43919,Stadium Z,Ref A,2025-01-05 05:00:00
103,Team B,Team E,5,4,55299,Stadium Y,Ref A,2025-01-05 06:00:00
104,Team B,Team E,2,5,54627,Stadium Z,Ref B,2025-01-05 07:00:00
105,Team B,Team E,1,1,34611,Stadium X,Ref B,2025-01-05 08:00:00
106,Team C,Team G,0,3,46269,Stadium X,Ref B,2025-01-05 09:00:00
107,Team D,Team H,1,2,39048,Stadium X,Ref B,2025-01-05 10:00:00
108,Team B,Team H,1,1,43789,Stadium X,Ref A,2025-01-05 11:00:00
109,Team B,Team E,2,4,20892,Stadium X,Ref A,2025-01-05 12:00:00
110,Team C,Team G,0,3,15418,Stadium X,Ref B,2025-01-05 13:00:00
111,Team D,Team E,1,2,29965,Stadium Y,Ref A,2025-01-05 14:00:00
112,Team C,Team H,4,3,68703,Stadium X,Ref B,2025-01-05 15:00:00
113,Team C,Team H,0,5,24464,Stadium X,Ref A,2025-01-05 16:00:00
114,Team C,Team H,0,3,35042,Stadium X,Ref B,2025-01-05 17:00:00
115,Team C,Team E,4,5,77962,Stadium Z,Ref B,2025-01-05 18:00:00
116,Team D,Team F,1,1,39609,Stadium Y,Ref B,2025-01-05 19:00:00
117,Team D,Team E,5,0,50880,Stadium Z,Ref B,2025-01-05 20:00:00
118,Team A,Team E,3,4,29096,Stadium Y,Ref C,2025-01-05 21:00:00
119,Team C,Team E,1,2,22377,Stadium X,Ref C,2025-01-05 22:00:00
120,Team B,Team F,3,1,34541,Stadium Y,Ref B,2025-01-05 23:00:00
121,Team A,Team E,0,2,62182,Stadium Z,Ref B,2025-01-06 00:00:00
122,Team C,Team G,3,5,63827,Stadium Z,Ref A,2025-01-06 01:00:00
123,Team A,Team F,0,1,39642,Stadium Z,Ref B,2025-01-06 02:00:00
124,Team D,Team E,4,2,70638,Stadium Y,Ref B,2025-01-06 03:00:00
125,Team B,Team E,2,0,58510,Stadium X,Ref B,2025-01-06 04:00:00
126,Team A,Team G,1,0,62996,Stadium Z,Ref A,2025-01-06 05:00:00
127,Team A,Team H,3,0,66965,Stadium Z,Ref A,2025-01-06 06:00:00
128,Team B,Team E,1,2,52882,Stadium X,Ref A,2025-01-06 07:00:00
129,Team B,Team E,1,1,66464,Stadium X,Ref B,2025-01-06 08:00:00
130,Team A,Team F,1,3,64633,Stadium Y,Ref B,2025-01-06 09:00:00
131,Team A,Team F,1,5,65374,Stadium Z,Ref A,2025-01-06 10:00:00
132,Team D,Team G,5,2,50197,Stadium Y,Ref C,2025-01-06 11:00:00
133,Team C,Team E,2,0,32501,Stadium Y,Ref B,2025-01-06 12:00:00
134,Team B,Team H,5,4,33416,Stadium X,Ref A,2025-01-06 13:00:00
135,Team C,Team G,5,5,52375,Stadium Y,Ref A,2025-01-06 14:00:00
136,Team D,Team F,2,1,53739,Stadium X,Ref B,2025-01-06 15:00:00
137,Team B,Team F,1,3,12707,Stadium X,Ref B,2025-01-06 16:00:00
138,Team D,Team G,5,5,23606,Stadium X,Ref C,2025-01-06 17:00:00
139,Team D,Team G,3,3,43260,Stadium Z,Ref A,2025-01-06 18:00:00
140,Team C,Team F,2,1,36417,Stadium Z,Ref A,2025-01-06 19:00:00
141,Team A,Team G,5,3,49416,Stadium X,Ref C,2025-01-06 20:00:00
142,Team D,Team G,5,2,50241,Stadium Z,Ref B,2025-01-06 21:00:00
143,Team C,Team E,1,5,28429,Stadium Y,Ref C,2025-01-06 22:00:00
144,Team A,Team E,1,3,77255,Stadium Z,Ref B,2025-01-06 23:00:00
145,Team A,Team E,2,1,12648,Stadium Z,Ref C,2025-01-07 00:00:00
146,Team D,Team F,2,2,60489,Stadium Y,Ref B,2025-01-07 01:00:00
147,Team C,Team E,2,1,12969,Stadium Z,Ref B,2025-01-07 02:00:00
148,Team D,Team F,0,3,40136,Stadium Z,Ref B,2025-01-07 03:00:00
149,Team A,Team H,1,1,79107,Stadium Y,Ref A,2025-01-07 04:00:00
150,Team A,Team F,3,5,33201,Stadium X,Ref A,2025-01-07 05:00:00
151,Team C,Team H,3,2,78156,Stadium Y,Ref A,2025-01-07 06:00:00
152,Team D,Team G,2,3,63707,Stadium X,Ref A,2025-01-07 07:00:00
153,Team A,Team F,0,3,13663,Stadium Z,Ref A,2025-01-07 08:00:00
154,Team D,Team H,4,5,33204,Stadium X,Ref B,2025-01-07 09:00:00
155,Team C,Team E,4,4,57219,Stadium Z,Ref B,2025-01-07 10:00:00
156,Team B,Team G,1,4,19748,Stadium Y,Ref C,2025-01-07 11:00:00
157,Team B,Team F,2,3,56596,Stadium Z,Ref C,2025-01-07 12:00:00
158,Team D,Team G,4,4,58456,Stadium X,Ref B,2025-01-07 13:00:00
159,Team B,Team E,0,1,20915,Stadium Y,Ref C,2025-01-07 14:00:00
160,Team B,Team F,5,3,39741,Stadium Y,Ref B,2025-01-07 15:00:00
161,Team D,Team G,2,1,62821,Stadium Y,Ref C,2025-01-07 16:00:00
162,Team A,Team F,4,5,36767,Stadium Z,Ref C,2025-01-07 17:00:00
163,Team C,Team E,2,1,43293,Stadium X,Ref B,2025-01-07 18:00:00
164,Team B,Team E,0,1,23346,Stadium Y,Ref A,2025-01-07 19:00:00
165,Team C,Team H,0,1,62030,Stadium X,Ref C,2025-01-07 20:00:00
166,Team D,Team E,1,4,28121,Stadium Z,Ref C,2025-01-07 21:00:00
167,Team C,Team F,5,1,39289,Stadium Z,Ref A,2025-01-07 22:00:00
168,Team A,Team F,2,4,18581,Stadium Y,Ref A,2025-01-07 23:00:00
169,Team A,Team G,3,2,24046,Stadium X,Ref B,2025-01-08 00:00:00
170,Team D,Team F,0,3,63997,Stadium Z,Ref C,2025-01-08 01:00:00
171,Team A,Team F,5,2,59878,Stadium Y,Ref C,2025-01-08 02:00:00
172,Team A,Team H,5,4,48040,Stadium Y,Ref A,2025-01-08 03:00:00
173,Team A,Team H,0,0,13219,Stadium X,Ref A,2025-01-08 04:00:00
174,Team C,Team E,5,1,69353,Stadium Y,Ref C,2025-01-08 05:00:00
175,Team B,Team G,2,5,58570,Stadium Y,Ref A,2025-01-08 06:00:00
176,Team B,Team F,2,4,60322,Stadium Y,Ref B,2025-01-08 07:00:00
177,Team B,Team E,4,4,20096,Stadium Y,Ref C,2025-01-08 08:00:00
178,Team C,Team F,2,2,79808,Stadium X,Ref C,2025-01-08 09:00:00
179,Team D,Team F,1,5,12034,Stadium X,Ref C,2025-01-08 10:00:00
180,Team A,Team F,1,0,78800,Stadium X,Ref C,2025-01-08 11:00:00
181,Team D,Team G,1,5,24931,Stadium Z,Ref A,2025-01-08 12:00:00
182,Team D,Team E,1,2,75318,Stadium X,Ref C,2025-01-08 13:00:00
183,Team A,Team F,2,5,28059,Stadium X,Ref B,2025-01-08 14:00:00
184,Team B,Team E,4,4,63066,Stadium X,Ref B,2025-01-08 15:00:00
185,Team B,Team G,3,4,21653,Stadium X,Ref A,2025-01-08 16:00:00
186,Team A,Team E,4,0,40806,Stadium X,Ref B,2025-01-08 17:00:00
187,Team C,Team F,1,4,70549,Stadium Z,Ref C,2025-01-08 18:00:00
188,Team C,Team G,2,0,46673,Stadium X,Ref A,2025-01-08 19:00:00
189,Team A,Team F,4,5,19401,Stadium X,Ref C,2025-01-08 20:00:00
190,Team C,Team H,0,4,57446,Stadium Z,Ref C,2025-01-08 21:00:00
191,Team D,Team F,5,3,69514,Stadium X,Ref A,2025-01-08 22:00:00
192,Team A,Team E,0,2,18893,Stadium Y,Ref B,2025-01-08 23:00:00
193,Team A,Team G,5,3,77164,Stadium Y,Ref A,2025-01-09 00:00:00
194,Team A,Team E,0,1,35694,Stadium Y,Ref A,2025-01-09 01:00:00
195,Team D,Team E,2,3,66224,Stadium X,Ref A,2025-01-09 02:00:00
196,Team A,Team G,1,0,29937,Stadium Z,Ref A,2025-01-09 03:00:00
197,Team B,Team G,4,3,70473,Stadium Z,Ref A,2025-01-09 04:00:00
198,Team B,Team H,2,5,62371,Stadium Y,Ref B,2025-01-09 05:00:00
199,Team A,Team G,0,4,16520,Stadium Z,Ref C,2025-01-09 06:00:00
200,Team A,Team F,2,5,60921,Stadium Y,Ref C,2025-01-09 07:00:00
201,Team C,Team F,2,0,42500,Stadium Y,Ref A,2025-01-09 08:00:00
202,Team C,Team E,0,1,35860,Stadium Y,Ref A,2025-01-09 09:00:00
203,Team B,Team E,3,0,15837,Stadium Z,Ref C,2025-01-09 10:00:00
204,Team A,Team E,3,4,63093,Stadium Y,Ref B,2025-01-09 11:00:00
205,Team C,Team F,0,2,56953,Stadium Y,Ref B,2025-01-09 12:00:00
206,Team D,Team G,1,0,78028,Stadium Z,Ref A,2025-01-09 13:00:00
207,Team C,Team E,3,0,32011,Stadium X,Ref A,2025-01-09 14:00:00
208,Team C,Team G,4,0,78899,Stadium Y,Ref C,2025-01-09 15:00:00
209,Team D,Team H,4,3,38689,Stadium X,Ref A,2025-01-09 16:00:00
210,Team C,Team H,3,0,18296,Stadium Y,Ref A,2025-01-09 17:00:00
211,Team A,Team E,5,3,51143,Stadium X,Ref A,2025-01-09 18:00:00
212,Team C,Team E,4,1,54089,Stadium X,Ref C,2025-01-09 19:00:00
213,Team D,Team E,2,0,65452,Stadium Z,Ref A,2025-01-09 20:00:00
214,Team B,Team G,0,4,79474,Stadium Z,Ref A,2025-01-09 21:00:00
215,Team A,Team E,0,0,29271,Stadium Y,Ref B,2025-01-09 22:00:00
216,Team C,Team H,5,1,27119,Stadium Y,Ref B,2025-01-09 23:00:00
217,Team D,Team G,0,1,18482,Stadium X,Ref A,2025-01-10 00:00:00
218,Team D,Team H,1,0,62547,Stadium Y,Ref C,2025-01-10 01:00:00
219,Team B,Team E,4,2,70541,Stadium X,Ref C,2025-01-10 02:00:00
220,Team A,Team G,1,1,75551,Stadium Z,Ref B,2025-01-10 03:00:00
221,Team C,Team E,3,2,46054,Stadium X,Ref B,2025-01-10 04:00:00
222,Team D,Team G,4,1,50782,Stadium Y,Ref B,2025-01-10 05:00:00
223,Team B,Team F,0,5,57467,Stadium Z,Ref A,2025-01-10 06:00:00
224,Team C,Team G,1,1,19515,Stadium Y,Ref A,2025-01-10 07:00:00
225,Team A,Team H,4,3,69398,Stadium X,Ref B,2025-01-10 08:00:00
226,Team B,Team H,2,5,33697,Stadium Z,Ref B,2025-01-10 09:00:00
227,Team C,Team H,1,5,33281,Stadium Z,Ref A,2025-01-10 10:00:00
228,Team A,Team F,3,2,32579,Stadium Y,Ref C,2025-01-10 11:00:00
229,Team B,Team F,3,4,38676,Stadium Y,Ref C,2025-01-10 12:00:00
230,Team A,Team F,4,4,62459,Stadium Y,Ref C,2025-01-10 13:00:00
231,Team B,Team H,1,4,61795,Stadium X,Ref B,2025-01-10 14:00:00
232,Team D,Team H,1,4,68657,Stadium Y,Ref A,2025-01-10 15:00:00
233,Team A,Team G,0,3,78784,Stadium X,Ref C,2025-01-10 16:00:00
234,Team C,Team F,1,2,77331,Stadium X,Ref B,2025-01-10 17:00:00
235,Team D,Team H,4,4,29135,Stadium Z,Ref A,2025-01-10 18:00:00
236,Team D,Team G,0,3,53125,Stadium Y,Ref B,2025-01-10 19:00:00
237,Team C,Team H,0,0,37696,Stadium X,Ref B,2025-01-10 20:00:00
238,Team A,Team H,0,4,41694,Stadium Y,Ref A,2025-01-10 21:00:00
239,Team A,Team F,2,4,33568,Stadium Y,Ref A,2025-01-10 22:00:00
240,Team A,Team E,1,5,63533,Stadium Y,Ref B,2025-01-10 23:00:00
241,Team C,Team F,4,5,75648,Stadium Y,Ref B,2025-01-11 00:00:00
242,Team D,Team G,0,5,16698,Stadium X,Ref A,2025-01-11 01:00:00
243,Team C,Team H,2,0,51735,Stadium X,Ref B,2025-01-11 02:00:00
244,Team C,Team F,2,4,68506,Stadium Z,Ref B,2025-01-11 03:00:00
245,Team B,Team E,4,3,33936,Stadium X,Ref B,2025-01-11 04:00:00
246,Team B,Team F,5,1,29189,Stadium Z,Ref B,2025-01-11 05:00:00
247,Team A,Team H,4,1,54098,Stadium Z,Ref C,2025-01-11 06:00:00
248,Team D,Team G,4,1,55990,Stadium X,Ref A,2025-01-11 07:00:00
249,Team D,Team H,0,1,29912,Stadium X,Ref C,2025-01-11 08:00:00
250,Team A,Team G,2,2,31680,Stadium X,Ref A,2025-01-11 09:00:00
251,Team D,Team E,2,2,39775,Stadium Z,Ref C,2025-01-11 10:00:00
252,Team B,Team H,3,5,37292,Stadium Y,Ref C,2025-01-11 11:00:00
253,Team C,Team E,5,0,16812,Stadium Y,Ref C,2025-01-11 12:00:00
254,Team B,Team E,3,0,62755,Stadium Y,Ref A,2025-01-11 13:00:00
255,Team D,Team G,0,3,58512,Stadium Z,Ref A,2025-01-11 14:00:00
256,Team D,Team G,3,3,78406,Stadium X,Ref B,2025-01-11 15:00:00
257,Team B,Team E,0,2,26370,Stadium Y,Ref A,2025-01-11 16:00:00
258,Team D,Team E,0,5,38326,Stadium Z,Ref C,2025-01-11 17:00:00
259,Team C,Team H,5,2,62207,Stadium Z,Ref A,2025-01-11 18:00:00
260,Team C,Team H,5,0,75734,Stadium X,Ref A,2025-01-11 19:00:00
261,Team B,Team G,3,4,21572,Stadium Z,Ref C,2025-01-11 20:00:00
262,Team D,Team E,2,0,51471,Stadium Z,Ref B,2025-01-11 21:00:00
263,Team A,Team G,2,0,51620,Stadium Z,Ref B,2025-01-11 22:00:00
264,Team A,Team H,5,2,30251,Stadium Y,Ref A,2025-01-11 23:00:00
265,Team C,Team H,5,3,35261,Stadium X,Ref A,2025-01-12 00:00:00
266,Team A,Team G,5,1,37659,Stadium X,Ref A,2025-01-12 01:00:00
267,Team B,Team E,3,2,79045,Stadium Y,Ref A,2025-01-12 02:00:00
268,Team C,Team E,4,2,59157,Stadium X,Ref B,2025-01-12 03:00:00
269,Team B,Team G,5,0,20060,Stadium Y,Ref C,2025-01-12 04:00:00
270,Team D,Team E,0,5,72853,Stadium Z,Ref B,2025-01-12 05:00:00
271,Team A,Team E,2,0,67580,Stadium Z,Ref B,2025-01-12 06:00:00
272,Team D,Team H,1,4,33386,Stadium Z,Ref A,2025-01-12 07:00:00
273,Team C,Team F,0,5,51752,Stadium X,Ref C,2025-01-12 08:00:00
274,Team A,Team E,5,0,33654,Stadium X,Ref A,2025-01-12 09:00:00
275,Team A,Team F,0,3,63910,Stadium Z,Ref B,2025-01-12 10:00:00
276,Team D,Team F,5,0,50690,Stadium X,Ref C,2025-01-12 11:00:00
277,Team A,Team F,3,3,67242,Stadium Z,Ref B,2025-01-12 12:00:00
278,Team C,Team E,4,1,72466,Stadium Y,Ref C,2025-01-12 13:00:00
279,Team D,Team H,4,4,73956,Stadium Y,Ref B,2025-01-12 14:00:00
280,Team A,Team G,3,5,54519,Stadium Z,Ref A,2025-01-12 15:00:00
281,Team A,Team F,1,1,12104,Stadium Y,Ref C,2025-01-12 16:00:00
282,Team B,Team F,2,0,71927,Stadium Y,Ref A,2025-01-12 17:00:00
283,Team D,Team H,4,0,68261,Stadium X,Ref B,2025-01-12 18:00:00
284,Team C,Team F,3,2,17349,Stadium Z,Ref B,2025-01-12 19:00:00
285,Team D,Team G,4,0,58181,Stadium Z,Ref C,2025-01-12 20:00:00
286,Team A,Team G,5,0,21350,Stadium Z,Ref B,2025-01-12 21:00:00
287,Team D,Team G,2,3,45363,Stadium Z,Ref B,2025-01-12 22:00:00
288,Team A,Team H,5,4,60637,Stadium X,Ref A,2025-01-12 23:00:00
289,Team D,Team F,5,3,41104,Stadium Y,Ref C,2025-01-13 00:00:00
290,Team D,Team G,2,4,51470,Stadium Y,Ref B,2025-01-13 01:00:00
291,Team A,Team H,4,0,71982,Stadium X,Ref A,2025-01-13 02:00:00
292,Team C,Team G,3,1,62548,Stadium X,Ref C,2025-01-13 03:00:00
293,Team A,Team E,1,5,52903,Stadium Z,Ref C,2025-01-13 04:00:00
294,Team B,Team F,3,1,11765,Stadium X,Ref B,2025-01-13 05:00:00
295,Team C,Team E,1,3,51424,Stadium X,Ref B,2025-01-13 06:00:00
296,Team C,Team G,3,2,58395,Stadium Y,Ref C,2025-01-13 07:00:00
297,Team D,Team G,3,2,72264,Stadium X,Ref B,2025-01-13 08:00:00
298,Team B,Team E,5,1,61607,Stadium Y,Ref C,2025-01-13 09:00:00
299,Team C,Team H,3,5,54668,Stadium X,Ref B,2025-01-13 10:00:00
300,Team C,Team H,5,0,79743,Stadium Y,Ref A,2025-01-13 11:00:00
301,Team C,Team G,1,4,69821,Stadium X,Ref B,2025-01-13 12:00:00
302,Team B,Team G,3,4,51456,Stadium X,Ref A,2025-01-13 13:00:00
303,Team B,Team F,2,4,19489,Stadium Z,Ref C,2025-01-13 14:00:00
304,Team C,Team F,1,4,41444,Stadium Z,Ref A,2025-01-13 15:00:00
305,Team B,Team G,5,5,48679,Stadium Z,Ref C,2025-01-13 16:00:00
306,Team D,Team F,5,0,38883,Stadium Y,Ref A,2025-01-13 17:00:00
307,Team A,Team H,4,1,16829,Stadium Y,Ref B,2025-01-13 18:00:00
308,Team D,Team H,3,1,23027,Stadium Y,Ref C,2025-01-13 19:00:00
309,Team A,Team H,3,3,61591,Stadium X,Ref A,2025-01-13 20:00:00
310,Team D,Team F,3,2,18207,Stadium X,Ref C,2025-01-13 21:00:00
311,Team D,Team E,0,5,39931,Stadium Y,Ref B,2025-01-13 22:00:00
312,Team C,Team H,0,1,15245,Stadium Y,Ref A,2025-01-13 23:00:00
313,Team D,Team E,4,1,63183,Stadium X,Ref C,2025-01-14 00:00:00
314,Team B,Team E,5,3,74934,Stadium Y,Ref C,2025-01-14 01:00:00
315,Team A,Team G,5,1,57336,Stadium Y,Ref A,2025-01-14 02:00:00
316,Team C,Team E,3,1,60380,Stadium Z,Ref A,2025-01-14 03:00:00
317,Team D,Team E,2,1,43034,Stadium X,Ref C,2025-01-14 04:00:00
318,Team D,Team E,2,0,55251,Stadium X,Ref A,2025-01-14 05:00:00
319,Team A,Team E,5,5,63028,Stadium Y,Ref C,2025-01-14 06:00:00
320,Team B,Team G,5,1,58856,Stadium X,Ref C,2025-01-14 07:00:00
321,Team A,Team F,4,5,40134,Stadium Y,Ref B,2025-01-14 08:00:00
322,Team B,Team F,2,1,24535,Stadium Y,Ref C,2025-01-14 09:00:00
323,Team C,Team E,5,3,31387,Stadium Z,Ref B,2025-01-14 10:00:00
324,Team A,Team G,4,1,69297,Stadium Z,Ref A,2025-01-14 11:00:00
325,Team C,Team E,4,5,51023,Stadium Y,Ref C,2025-01-14 12:00:00
326,Team A,Team F,5,0,48065,Stadium Z,Ref A,2025-01-14 13:00:00
327,Team B,Team H,0,4,67685,Stadium X,Ref C,2025-01-14 14:00:00
328,Team D,Team F,0,5,45033,Stadium X,Ref A,2025-01-14 15:00:00
329,Team C,Team G,2,5,34469,Stadium Y,Ref A,2025-01-14 16:00:00
330,Team D,Team E,0,5,14483,Stadium X,Ref C,2025-01-14 17:00:00
331,Team B,Team H,5,4,65617,Stadium Y,Ref C,2025-01-14 18:00:00
332,Team D,Team E,4,5,43807,Stadium Z,Ref C,2025-01-14 19:00:00
333,Team B,Team E,2,5,39436,Stadium Y,Ref C,2025-01-14 20:00:00
334,Team C,Team F,4,3,41923,Stadium Z,Ref C,2025-01-14 21:00:00
